name,wattage,efficiency,price,size,image,modularity,color
"FSP Group Hydro PTM X PRO,Gen5",1000,Efficiency Rating80+ Platinum,271.19,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/73165414d8701353a5ccddf54b3e9a9b.256p.jpg,ModularFull,ColorBlack
Lian Li EDGE,1300,Efficiency Rating80+ Platinum,273.42,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/e92f825ed1d88b0cb0fac7933b6d853c.256p.jpg,ModularFull,ColorWhite
Antec High Current Gamer,620,Efficiency Rating80+ Bronze,275.69,TypeATX,https://m.media-amazon.com/images/I/51KvQNSrSkL.jpg,ModularSemi,Color
Asus ROG STRIX 1200P Gaming,1200,Efficiency Rating80+ Platinum,276.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/3fb2d887e5a452db696692c8205dd369.256p.jpg,ModularFull,ColorBlack / Silver
Silverstone DA850R-GMA,850,Efficiency Rating80+ Gold,277.3,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/ff450bf2512afde80b5ad0a38cf576d2.256p.jpg,ModularFull,ColorBlack
Thermaltake Toughpower SFX,850,Efficiency Rating80+ Platinum,277.98,TypeSFX,https://m.media-amazon.com/images/I/51oq--dSIHL.jpg,ModularFull,ColorBlack
Thermaltake Smart BM3,650,Efficiency Rating80+ Bronze,278.01,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/4f3b7e2fa6212bc5d7addadf36fa2b1b.256p.jpg,ModularSemi,ColorBlack
Corsair RM1000x,1000,Efficiency Rating80+ Gold,279.89,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/49b15c4f90ae64a72cea7148d88b545e.256p.jpg,ModularFull,Color
Silverstone DA850R-GMA,850,Efficiency Rating80+ Gold,279.95,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6f4e7cd68f6241e17b055a37734ab448.256p.jpg,ModularFull,ColorWhite
Super Flower Leadex III Gold UP,1300,Efficiency Rating80+ Gold,279.98,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/8518dc8b066169771e77870f3a73d3ed.256p.jpg,ModularFull,ColorBlack
Corsair RM1200x SHIFT,1200,Efficiency Rating80+ Gold,279.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6719e9fc9ce80bbf6c163bef40cb6e0b.256p.jpg,ModularFull / Side,ColorBlack
Cooler Master V SFX Platinum,1100,Efficiency Rating80+ Platinum,279.99,TypeSFX,//cdna.pcpartpicker.com/static/forever/images/product/343301e7c7c93040adb3e78a9d323112.256p.jpg,ModularFull,ColorBlack
be quiet! Dark Power 13,850,Efficiency Rating80+ Titanium,279.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/ac6ebb39db158b2d18a6a847537740f7.256p.jpg,ModularFull,ColorBlack
SeaSonic Focus GX V4 ATX 3 (2024),1000,Efficiency Rating80+ Gold,280.5,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6b17b20795b473fa047bd22d6a451821.256p.jpg,ModularFull,ColorWhite
FSP Group FSP220-60LE(80),220,Efficiency Rating80+,281.18,TypeMini ITX,https://m.media-amazon.com/images/I/41Fd72RaMhL.jpg,ModularNo,ColorSilver
EVGA SuperNOVA 1000 P5,1000,Efficiency Rating80+ Platinum,284.74,TypeATX,https://m.media-amazon.com/images/I/51ffXG2QCjL.jpg,ModularFull,ColorBlue / Black
Thermaltake EVO_Blue,650,Efficiency Rating80+ Gold,284.92,TypeATX,https://m.media-amazon.com/images/I/41RtYnCKMjL.jpg,ModularSemi,Color
Silverstone DA750 Gold,750,Efficiency Rating80+ Gold,285.37,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/86e43d07e104412be4e0e875349a9ec1.256p.jpg,ModularFull,ColorBlack / White
Thermaltake Toughpower GF3 Snow,1200,Efficiency Rating80+ Gold,285.45,TypeATX,https://m.media-amazon.com/images/I/41qanwg0rvL.jpg,ModularFull,ColorWhite
Thermaltake Toughpower GF3 TT Premium,1000,Efficiency Rating80+ Gold,289.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6d48de719caa79176caf445a9f7ecc85.256p.jpg,ModularFull,ColorBlack
Asus ROG LOKI,850,Efficiency Rating80+ Platinum,292.8,TypeSFX,//cdna.pcpartpicker.com/static/forever/images/product/2e89a572a1cec53c94ae5ca6ea9abb32.256p.jpg,ModularFull,ColorBlack / Silver
Antec CSK,550,Efficiency Rating80+ Bronze,293.05,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/3f28cb7bc95342d59cf7f6bb31afb04f.256p.jpg,ModularNo,ColorBlack / Yellow
Corsair RM1200e,1200,Efficiency Rating80+ Gold,294.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/1b7d8f1242e5d43e03fe1f262f522b94.256p.jpg,ModularFull,ColorBlack
Thermaltake Toughpower GF A3 - TT Premium Edition,1200,Efficiency Rating80+ Gold,295.14,TypeATX,https://m.media-amazon.com/images/I/41fIwYxOlPL.jpg,ModularFull,ColorBlack
EVGA SuperNOVA 1300 P+,1300,Efficiency Rating80+ Platinum,295.99,TypeATX,https://m.media-amazon.com/images/I/41QW4kxtjrS.jpg,ModularFull,ColorBlack
be quiet! System Power 9 700 CM,700,Efficiency Rating80+ Bronze,296.56,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6706a25e270992133bf9ed01ac38e124.256p.jpg,ModularSemi,ColorBlack
Silverstone Strider Platinum,750,Efficiency Rating80+ Platinum,297.17,TypeATX,https://m.media-amazon.com/images/I/51WamsChH-L.jpg,ModularFull,Color
Corsair SF1000 (2024),1000,Efficiency Rating80+ Platinum,299.99,TypeSFX,//cdna.pcpartpicker.com/static/forever/images/product/0dd4e1eecc238b78a3b4abfa14af9d50.256p.jpg,ModularFull,ColorBlack
Thermaltake Toughpower GF3 TT Premium,1200,Efficiency Rating80+ Gold,300.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/00d154cad5360746ac0f80ee959b034b.256p.jpg,ModularFull,ColorBlack
Enermax Revolution D.F. X,1350,Efficiency Rating80+ Gold,302.98,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/c2f0a198875623ee741088ecf89ef2b7.256p.jpg,ModularFull,ColorBlack
Silverstone TX500-G,500,Efficiency Rating80+ Gold,305.27,TypeTFX,//cdna.pcpartpicker.com/static/forever/images/product/4d14c9693624095ceaf52d8afe50282d.256p.jpg,ModularNo,ColorBlack
Gigabyte UD1300GM PG5,1300,Efficiency Rating80+ Gold,305.8,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/9438ceeeb719881f26ffa3193d8a9b80.256p.jpg,ModularFull,ColorBlack
Chieftec ATMOS,850,Efficiency Rating80+ Gold,308.72,TypeATX,https://m.media-amazon.com/images/I/51BIuj15q1L.jpg,ModularFull,ColorBlack
be quiet! Straight Power 12,850,Efficiency Rating80+ Platinum,308.98,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/7538bfbc579094f3dc35c3d8e5ae37b0.256p.jpg,ModularFull,ColorBlack
be quiet! Straight Power 12,1200,Efficiency Rating80+ Platinum,309.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/ed6b9e88000d7dc9e6b6ea0e06b20532.256p.jpg,ModularFull,ColorBlack
Corsair RM1000x SHIFT,1000,Efficiency Rating80+ Gold,309.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/d03646603c57b9844719421c0543434c.256p.jpg,ModularFull / Side,ColorWhite
Chieftec Polaris 3.0,1050,Efficiency Rating80+ Gold,310.88,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/8e6ae45b2e376cbbc28fc7f633145ae8.256p.jpg,ModularFull,ColorBlack
Asus ROG STRIX 1000G,1000,Efficiency Rating80+ Gold,312.0,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/fb5ae2930e1fe2c321366e615b780cb1.256p.jpg,ModularFull,ColorBlack
Gigabyte AORUS ELITE P850,850,Efficiency Rating80+ Platinum,314.79,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/535d7ddd9d2385c52ef622aa25182004.256p.jpg,ModularFull,ColorBlack
Corsair HX1200i,1200,Efficiency Rating80+ Platinum,316.8,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/cdf0213f62ccdb8c0d239d809eca0762.256p.jpg,ModularFull,ColorBlack
SeaSonic VERTEX GX-1200,1200,Efficiency Rating80+ Gold,319.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/ed3235057508a33ff8605786994551f9.256p.jpg,ModularFull,ColorBlack / Silver
